,Date,Group,Repeating No,String,Trend No,Dec No
215,2013-08-04,A,6,vvum,288.0,1041.625
216,2013-08-05,B,3,guao,65.0,699.6666667
217,2013-08-06,C,1,dgop,99.0,870.0
218,2013-08-07,D,9,jpvu,301.5,1066.888889
219,2013-08-08,E,4,xzmc,102.0,1167.2
220,2013-08-09,A,10,gbxs,241.5,104.3
221,2013-08-10,B,4,imwv,70.0,2350.0
222,2013-08-11,C,6,hggn,177.5,398.4
223,2013-08-12,D,3,yqwk,144.0,5378.0
224,2013-08-13,E,5,gbzs,255.5,2219.5
225,2013-08-14,A,5,ppqs,222.0,705.75
226,2013-08-15,B,4,pfna,375.0,440.8571429
227,2013-08-16,C,8,yrfs,304.0,8186.0
228,2013-08-17,D,5,myph,192.5,1347.0
229,2013-08-18,E,5,wzbu,78.0,1551.5
230,2013-08-19,A,4,yxmn,395.0,902.75
231,2013-08-20,B,10,pnbo,360.0,1912.333333
232,2013-08-21,C,9,zzlw,324.0,1439.0
233,2013-08-22,D,8,djaf,246.0,2870.666667
234,2013-08-23,E,10,bozt,249.0,1204.4
235,2013-08-24,A,3,pmyj,336.0,86.0
236,2013-08-25,B,8,xswu,382.5,149.2
237,2013-08-26,C,6,wkas,129.0,148.8333333
238,2013-08-27,D,7,fdoe,304.5,1286.833333
239,2013-08-28,E,6,nope,88.0,1145.666667
240,2013-08-29,A,4,fecb,400.5,85.5
241,2013-08-30,B,3,fvan,90.0,1758.5
242,2013-08-31,C,6,yzhn,273.0,643.0
243,2013-09-01,D,7,xuxg,92.0,492.2
244,2013-09-02,E,2,kyle,418.5,5624.0
245,2013-09-03,A,1,mkfj,423.0,721.5714286
246,2013-09-04,B,8,krqf,285.0,355.6666667
247,2013-09-05,C,10,ablc,432.0,220.5
248,2013-09-06,D,7,pgne,97.0,258.6
249,2013-09-07,E,9,nhsv,196.0,7071.0
250,2013-09-08,A,6,awfk,198.0,1113.6
251,2013-09-09,B,1,txok,450.0,683.0
252,2013-09-10,C,7,ftwc,252.5,576.6
253,2013-09-11,D,2,diha,408.0,903.5
254,2013-09-12,E,6,uzln,463.5,6290.0
255,2013-09-13,A,10,rznv,416.0,2017.25
256,2013-09-14,B,3,twhm,367.5,4131.0
257,2013-09-15,C,4,jbkp,424.0,1446.8
258,2013-09-16,D,7,cjnn,481.5,551.4
259,2013-09-17,E,3,cggs,162.0,798.8333333
260,2013-09-18,A,2,zcga,163.5,155.4285714
261,2013-09-19,B,10,wics,495.0,542.1
262,2013-09-20,C,6,myhy,166.5,43.5
263,2013-09-21,D,7,sfvl,560.0,1882.5
264,2013-09-22,E,9,voma,452.0,513.125
265,2013-09-23,A,2,klbs,513.0,8932.0
266,2013-09-24,B,1,ztyl,115.0,1068.0
267,2013-09-25,C,3,eseu,174.0,837.625
268,2013-09-26,D,2,gdvq,175.5,1281.428571
269,2013-09-27,E,1,nmud,531.0,3833.0
270,2013-09-28,A,1,semo,238.0,24.57142857
271,2013-09-29,B,5,zovl,360.0,481.6
272,2013-09-30,C,9,idyd,242.0,2473.0
273,2013-10-01,D,4,iabs,305.0,1117.4
274,2013-10-02,E,3,mrxv,492.0,469.6
275,2013-10-03,A,3,pneu,496.0,564.7
276,2013-10-04,B,2,heij,250.0,1830.2
277,2013-10-05,C,1,cmcs,63.0,987.125
278,2013-10-06,D,5,bvsc,381.0,357.0
279,2013-10-07,E,8,klki,128.0,1922.4
280,2013-10-08,A,8,ivcr,451.5,960.5
281,2013-10-09,B,6,caqd,195.0,616.8571429
282,2013-10-10,C,8,jyqz,589.5,844.2222222
283,2013-10-11,D,5,qhja,594.0,3736.5
284,2013-10-12,E,3,kpwg,332.5,1124.714286
285,2013-10-13,A,10,kqks,134.0,3133.0
286,2013-10-14,B,4,ybjb,337.5,409.3
287,2013-10-15,C,1,wqgh,408.0,215.5
288,2013-10-16,D,1,xpuk,548.0,471.2
289,2013-10-17,E,7,nmcl,552.0,561.125
290,2013-10-18,A,2,cpqk,139.0,1888.0
291,2013-10-19,B,8,jqtk,420.0,428.3
292,2013-10-20,C,5,pkkt,141.0,2380.0
293,2013-10-21,D,9,tsqs,497.0,167.7142857
294,2013-10-22,E,8,ffyi,357.5,34.33333333
295,2013-10-23,A,2,rbwy,648.0,527.0
296,2013-10-24,B,2,dgsy,217.5,393.7
297,2013-10-25,C,4,zdth,657.0,1473.5
298,2013-10-26,D,2,zyqo,735.0,1016.833333
299,2013-10-27,E,3,vgay,444.0,3106.5
300,2013-10-28,A,5,ofzg,745.0,1810.4
301,2013-10-29,B,6,obeb,300.0,654.1428571
302,2013-10-30,C,4,kbwn,0.0,9333.0
303,2013-10-31,D,2,iwnr,3.0,695.5
304,2013-11-01,E,2,hgze,6.0,528.3333333
305,2013-11-02,A,6,sgfg,10.5,465.8888889
306,2013-11-03,B,5,jmig,2.0,1781.0
307,2013-11-04,C,9,shcy,5.0,345.2
308,2013-11-05,D,5,ubbv,21.0,984.75
309,2013-11-06,E,4,ljaa,7.0,1385.857143
310,2013-11-07,A,10,hvug,40.0,475.0
311,2013-11-08,B,2,fqmf,4.5,1742.5
312,2013-11-09,C,5,dgum,35.0,2667.0
313,2013-11-10,D,7,oist,49.5,983.5
314,2013-11-11,E,3,tuha,18.0,1773.0
315,2013-11-12,A,8,lnyr,52.0,3704.0
316,2013-11-13,B,7,jyxm,21.0,787.4
317,2013-11-14,C,5,dvks,45.0,972.6666667
318,2013-11-15,D,10,vbuu,48.0,39.7
319,2013-11-16,E,10,bcci,25.5,1409.285714
320,2013-11-17,A,10,zonz,9.0,1944.0
321,2013-11-18,B,5,tajd,76.0,53.33333333
322,2013-11-19,C,9,ndlh,70.0,461.125
323,2013-11-20,D,8,zfpw,10.5,947.75
324,2013-11-21,E,1,bmjm,22.0,586.1666667
325,2013-11-22,A,5,glsw,11.5,4550.0
326,2013-11-23,B,9,rvsc,24.0,1004.75
327,2013-11-24,C,1,lqun,12.5,1709.0
328,2013-11-25,D,1,fkdp,26.0,517.1111111
329,2013-11-26,E,1,ihul,94.5,4359.0
330,2013-11-27,A,8,rygg,98.0,1062.625
331,2013-11-28,B,6,qgpb,58.0,676.5
332,2013-11-29,C,6,trld,45.0,873.3333333
333,2013-11-30,D,1,lojn,155.0,1130.0
334,2013-12-01,E,10,lnil,64.0,167.0
335,2013-12-02,A,8,ohtx,165.0,73.1
336,2013-12-03,B,4,bkns,170.0,7182.0
337,2013-12-04,C,2,nvbc,17.5,298.5
338,2013-12-05,D,3,egwz,54.0,1838.5
339,2013-12-06,E,6,mwgh,92.5,995.8888889
340,2013-12-07,A,8,zxwo,114.0,671.4285714
341,2013-12-08,B,6,acma,136.5,4178.0
342,2013-12-09,C,1,nmxo,80.0,3397.0
343,2013-12-10,D,1,othw,61.5,757.4
344,2013-12-11,E,5,qpjr,168.0,1420.833333
345,2013-12-12,A,2,yoql,21.5,817.4
346,2013-12-13,B,3,qnde,198.0,754.75
347,2013-12-14,C,7,ejqc,157.5,94.0
348,2013-12-15,D,8,vnnw,115.0,3499.5
349,2013-12-16,E,8,wijn,164.5,1312.8
350,2013-12-17,A,10,qqgu,216.0,467.8
351,2013-12-18,B,3,mlco,245.0,1213.0
352,2013-12-19,C,9,mchj,225.0,43.0
353,2013-12-20,D,1,haeq,204.0,2290.75
354,2013-12-21,E,3,yhrj,52.0,472.5
355,2013-12-22,A,4,ctoh,26.5,1264.166667
356,2013-12-23,B,10,xcoo,189.0,852.6666667
357,2013-12-24,C,4,gydp,192.5,224.7777778
358,2013-12-25,D,6,hsor,56.0,1601.8
359,2013-12-26,E,6,mmli,199.5,482.4
360,2013-12-27,A,9,mjsd,116.0,19.2
361,2013-12-28,B,9,bpxs,177.0,82.66666667
362,2013-12-29,C,3,fgjm,210.0,209.9
363,2013-12-30,D,3,vukk,305.0,2988.333333
364,2013-12-31,E,8,yazr,248.0,74.5
365,2014-01-01,A,5,sbvb,283.5,643.9
366,2014-01-02,B,10,ovui,64.0,1240.0
367,2014-01-03,C,1,xxdc,130.0,2195.0
368,2014-01-04,D,6,qtgd,99.0,1047.5
369,2014-01-05,E,1,cavw,301.5,596.6
370,2014-01-06,A,7,flaj,238.0,1595.0
371,2014-01-07,B,5,tvar,69.0,810.0
372,2014-01-08,C,5,ndpa,140.0,1089.666667
373,2014-01-09,D,1,whcp,248.5,663.6666667
374,2014-01-10,E,6,biev,72.0,2084.666667
375,2014-01-11,A,6,qbob,109.5,1536.666667
376,2014-01-12,B,9,nsxz,148.0,2869.333333
377,2014-01-13,C,8,qtsv,75.0,508.0
378,2014-01-14,D,10,rver,190.0,1111.375
379,2014-01-15,E,3,fixt,77.0,355.3
380,2014-01-16,A,10,hmqh,273.0,1827.75
381,2014-01-17,B,4,gwhg,118.5,830.6
382,2014-01-18,C,1,gzxo,40.0,1725.2
383,2014-01-19,D,5,bpoi,364.5,948.1111111
384,2014-01-20,E,9,eute,410.0,1626.333333
385,2014-01-21,A,8,frtu,415.0,72.66666667
386,2014-01-22,B,10,lukb,126.0,4322.0
387,2014-01-23,C,9,vymt,255.0,1676.0
388,2014-01-24,D,9,ghvb,301.0,1540.8
389,2014-01-25,E,2,widb,391.5,1104.666667
390,2014-01-26,A,1,lmfi,220.0,80.875
391,2014-01-27,B,5,yoks,178.0,299.8888889
392,2014-01-28,C,6,xlla,225.0,216.6666667
393,2014-01-29,D,5,klgy,409.5,862.7777778
394,2014-01-30,E,8,lvye,414.0,409.8
395,2014-01-31,A,2,tbow,279.0,1957.25
396,2014-02-01,B,3,ltjd,235.0,649.5
397,2014-02-02,C,2,igzx,95.0,458.25
398,2014-02-03,D,1,pkrg,96.0,1467.0
399,2014-02-04,E,10,xjvd,291.0,550.0
400,2014-02-05,A,3,vrsl,294.0,1064.0
401,2014-02-06,B,9,mlio,99.0,2274.75
402,2014-02-07,C,10,embr,150.0,649.125
403,2014-02-08,D,5,pbdl,50.5,1187.0
404,2014-02-09,E,1,fgbj,459.0,1478.0
405,2014-02-10,A,6,owbj,515.0,356.1
406,2014-02-11,B,6,vysn,520.0,58.1
407,2014-02-12,C,10,fiui,525.0,3959.5
408,2014-02-13,D,3,lzae,53.0,898.0
409,2014-02-14,E,5,qpmi,321.0,770.9
410,2014-02-15,A,5,svkd,162.0,4312.0
411,2014-02-16,B,8,vdsj,54.5,199.9
412,2014-02-17,C,7,rrza,440.0,1159.625
413,2014-02-18,D,7,orlf,277.5,622.5714286
414,2014-02-19,E,8,cpis,448.0,2925.0
415,2014-02-20,A,4,nukb,395.5,816.875
416,2014-02-21,B,5,vxtg,57.0,1829.6
417,2014-02-22,C,9,lekw,287.5,2069.25
418,2014-02-23,D,4,quim,580.0,603.3333333
419,2014-02-24,E,1,lmgn,526.5,506.0
420,2014-02-25,A,7,yhvy,531.0,606.75
421,2014-02-26,B,5,krio,178.5,897.0
422,2014-02-27,C,5,bhud,600.0,3074.666667
423,2014-02-28,D,8,vlcn,181.5,557.3333333
424,2014-03-01,E,8,xciu,61.0,390.5
425,2014-03-02,A,10,ybpz,123.0,196.6
426,2014-03-03,B,8,ytis,558.0,9673.0
427,2014-03-04,C,7,lnqn,375.0,1250.142857
428,2014-03-05,D,6,hpfx,630.0,892.6666667
429,2014-03-06,E,4,dcps,508.0,866.75
430,2014-03-07,A,6,dyad,576.0,1085.142857
431,2014-03-08,B,8,xvny,193.5,303.5
432,2014-03-09,C,7,bjsa,195.0,928.4
433,2014-03-10,D,8,hodz,524.0,2936.666667
434,2014-03-11,E,9,ivdb,198.0,4667.0
435,2014-03-12,A,4,mycx,465.5,851.3333333
436,2014-03-13,B,6,ywbo,201.0,1779.4
437,2014-03-14,C,8,bebv,607.5,4638.0
438,2014-03-15,D,6,ambo,544.0,1841.2
439,2014-03-16,E,7,ekox,685.0,3916.0
440,2014-03-17,A,9,rkxp,276.0,718.0
441,2014-03-18,B,8,gkun,486.5,489.4444444
442,2014-03-19,C,6,algh,210.0,7422.0
443,2014-03-20,D,8,fgmu,70.5,1101.875
444,2014-03-21,E,8,zyei,142.0,876.4444444
445,2014-03-22,A,5,ewov,143.0,439.25
446,2014-03-23,B,4,aogv,216.0,294.625
447,2014-03-24,C,8,gale,145.0,1002.0
448,2014-03-25,D,2,yehj,584.0,2480.666667
449,2014-03-26,E,3,eeqf,441.0,304.0
450,2014-03-27,A,9,dioe,740.0,529.4444444
451,2014-03-28,B,2,kyer,74.5,772.3
452,2014-03-29,C,9,qsqa,525.0,242.7142857
453,2014-03-30,D,5,slij,0.0,463.0
454,2014-03-31,E,5,stvs,3.0,2060.333333
455,2014-04-01,A,7,ytqb,2.0,4134.5
456,2014-04-02,B,1,clce,13.5,2477.0
457,2014-04-03,C,10,lned,6.0,7654.0
458,2014-04-04,D,10,xxbg,2.5,7809.0
459,2014-04-05,E,10,bwzj,24.0,849.0
460,2014-04-06,A,4,aycc,14.0,1797.8
461,2014-04-07,B,6,lptn,8.0,1321.4
462,2014-04-08,C,8,lkhi,36.0,353.0
463,2014-04-09,D,10,cobq,30.0,771.7142857
464,2014-04-10,E,9,vifr,49.5,184.1111111
465,2014-04-11,A,9,vykc,42.0,773.4
466,2014-04-12,B,10,xkgi,58.5,584.2
467,2014-04-13,C,3,qnqe,70.0,965.5
468,2014-04-14,D,1,tbbh,60.0,183.2857143
469,2014-04-15,E,4,zqmb,40.0,903.3
470,2014-04-16,A,10,iiey,17.0,422.0
471,2014-04-17,B,6,hrqp,18.0,1144.666667
472,2014-04-18,C,1,rype,19.0,127.5
473,2014-04-19,D,2,kolz,30.0,8362.0
474,2014-04-20,E,10,fabj,73.5,38.2
475,2014-04-21,A,1,xjan,44.0,641.6666667
476,2014-04-22,B,1,nnnk,57.5,4429.0
477,2014-04-23,C,2,cmnk,72.0,401.0
478,2014-04-24,D,2,zgfl,75.0,1217.125
479,2014-04-25,E,1,hzac,52.0,5574.0
480,2014-04-26,A,3,nnod,81.0,14.7
481,2014-04-27,B,10,rugm,56.0,1049.0
482,2014-04-28,C,10,kekv,145.0,497.6
483,2014-04-29,D,6,ncrj,120.0,2858.333333
484,2014-04-30,E,1,hkqs,77.5,2281.0
485,2014-05-01,A,1,nrdj,16.0,785.0
486,2014-05-02,B,2,ltes,148.5,426.7
487,2014-05-03,C,5,cgbb,119.0,26.0
488,2014-05-04,D,5,lrdx,17.5,551.4
489,2014-05-05,E,6,mqlc,144.0,597.7
490,2014-05-06,A,9,irbq,111.0,172.1666667
491,2014-05-07,B,2,gpnj,190.0,4094.5
492,2014-05-08,C,7,fglx,97.5,194.875
493,2014-05-09,D,3,mdwt,180.0,594.5
494,2014-05-10,E,10,hvzg,41.0,812.1111111
495,2014-05-11,A,7,renl,84.0,1882.0
496,2014-05-12,B,3,nrtv,193.5,1098.777778
497,2014-05-13,C,3,ymgc,66.0,64.5
498,2014-05-14,D,6,vres,22.5,811.7777778
499,2014-05-15,E,6,cmkr,23.0,1868.5
500,2014-05-16,A,9,hmre,47.0,1182.5
501,2014-05-17,B,2,tpqp,24.0,711.2
502,2014-05-18,C,10,jbra,24.5,1703.5
503,2014-05-19,D,2,sbva,125.0,350.6
504,2014-05-20,E,3,khxy,102.0,2631.0
505,2014-05-21,A,4,rvkv,156.0,75.5
506,2014-05-22,B,6,aoxb,53.0,8765.0
507,2014-05-23,C,6,txwi,27.0,677.75
508,2014-05-24,D,4,fnrh,82.5,204.4
509,2014-05-25,E,6,nlwz,140.0,313.375
510,2014-05-26,A,6,ujmp,171.0,471.5
511,2014-05-27,B,2,trdt,174.0,253.2
512,2014-05-28,C,4,zvoj,265.5,4553.5
513,2014-05-29,D,4,trai,300.0,1436.166667
514,2014-05-30,E,3,kocn,91.5,2334.5
515,2014-05-31,A,2,jscw,93.0,31.83333333
516,2014-06-01,B,8,ntwq,94.5,168.1666667
517,2014-06-02,C,5,gexr,320.0,255.6666667
518,2014-06-03,D,4,ojeu,65.0,51.8
519,2014-06-04,E,1,tial,132.0,1174.666667
520,2014-06-05,A,8,ustv,167.5,3936.0
521,2014-06-06,B,5,jbah,204.0,1305.0
522,2014-06-07,C,2,xtcn,241.5,2412.0
523,2014-06-08,D,6,tldk,350.0,2423.25
524,2014-06-09,E,8,kgfj,35.5,863.0
525,2014-06-10,A,6,kvez,324.0,2489.5
526,2014-06-11,B,2,ybdj,292.0,1477.8
527,2014-06-12,C,9,yhly,37.0,1269.333333
528,2014-06-13,D,5,mixm,375.0,728.625
529,2014-06-14,E,5,dmwc,114.0,62.0
