,ADMIN_ORG,ADMIN_ORG_NAME,RMU_ID,RMU_NAME,RMU_STATUS,NEPA_DECISION_TYPE,NEPA_DECISION_DATE_APPROVED,SUFF_REVIEW_DATE,NEPA_SCHEDULE,NEPA_YR
27,60102,CRESCENT RANGER DISTRICT,02002,BIG MARSH,CLOSED,DECISION NOTICE/FONSI (EA),01/01/1995,,,1995.0
28,62104,REPUBLIC RANGER DISTRICT,07800,JUNGLE HILL,ACTIVE,,08/05/1976,,2028.0,1976.0
29,20904,DIVIDE RANGER DISTRICT,09456,KITTY,VACANT,,06/11/1976,,2019.0,1976.0
30,20904,DIVIDE RANGER DISTRICT,09466,STONEY,ACTIVE,,10/15/1976,,,1976.0
31,30903,BRADSHAW RANGER DISTRICT,00322,WOLF CREEK,ACTIVE,,01/24/1976,,2019.0,1976.0
32,62104,REPUBLIC RANGER DISTRICT,07700,BRACKEN,ACTIVE,,01/13/1977,,2028.0,1977.0
33,21306,PAGOSA RANGER DISTRICT,13627,WEST NAVAJO,COMBINED,DECISION NOTICE/FONSI (EA),01/04/2007,,,2007.0
34,20904,DIVIDE RANGER DISTRICT,09450,BRISTOL,VACANT,,02/09/1977,,,1977.0
35,41701,CARSON RANGER DISTRICT,10126,MT ROSE S&G,ACTIVE,RECORD OF DECISION (EIS),09/28/1977,,,1977.0
36,20904,DIVIDE RANGER DISTRICT,09465,SNOW MESA,ACTIVE,,02/09/1977,,,1977.0
37,20904,DIVIDE RANGER DISTRICT,09467,TABLE,ACTIVE,,02/09/1977,,,1977.0
38,41301,SALMON-COBALT RANGER DISTRICT,10511,TWELVE MILE,ACTIVE,,08/08/1977,,,1977.0
39,20903,CONEJOS PEAK RANGER DISTRICT,09100,ALAMOSA,ACTIVE,,12/31/1978,,,1978.0
40,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,40401,ALDER CREEK,ACTIVE,,06/19/1978,,2025.0,1978.0
41,20903,CONEJOS PEAK RANGER DISTRICT,09103,BANCOS,ACTIVE,,12/31/1978,,,1978.0
42,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,20201,BIG CREEK,VACANT,,08/30/1978,,,1978.0
43,41401,MINIDOKA RANGER DISTRICT,02009,BUCKBRUSH S&G,ACTIVE,DECISION NOTICE/FONSI (EA),10/06/1978,,2019.0,1978.0
44,41307,NORTH FORK RANGER DISTRICT,70203,CARMEN CREEK,ACTIVE,,08/01/1978,,,1978.0
45,20903,CONEJOS PEAK RANGER DISTRICT,09109,CAT CREEK,ACTIVE,,12/31/1978,,,1978.0
46,41401,MINIDOKA RANGER DISTRICT,02012,DEADLINE S&G,ACTIVE,DECISION NOTICE/FONSI (EA),10/06/1978,,2019.0,1978.0
47,20903,CONEJOS PEAK RANGER DISTRICT,09112,HOT CREEK,ACTIVE,,12/31/1978,,,1978.0
48,20903,CONEJOS PEAK RANGER DISTRICT,09115,JIM CREEK,ACTIVE,,12/31/1978,,,1978.0
49,20903,CONEJOS PEAK RANGER DISTRICT,09118,LA JARA,ACTIVE,,12/31/1978,,,1978.0
50,41401,MINIDOKA RANGER DISTRICT,02013,LITTLE PINEY S&G,ACTIVE,DECISION NOTICE/FONSI (EA),10/06/1978,,2019.0,1978.0
51,20903,CONEJOS PEAK RANGER DISTRICT,09317,ROUGH CREEK,ACTIVE,,12/31/1978,,,1978.0
52,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,20213,SULPHUR CREEK,ACTIVE,,05/01/1978,,2022.0,1978.0
53,10206,MADISON RANGER DISTRICT,20159,BARNETT,ACTIVE,,11/13/1979,,,1979.0
54,41401,MINIDOKA RANGER DISTRICT,02007,BIG HOLLOW C&H,ACTIVE,DECISION NOTICE/FONSI (EA),08/27/1979,,,1979.0
55,41204,MCCALL RANGER DISTRICT,00402,BILL HUNT S&G,ACTIVE,DECISION NOTICE/FONSI (EA),02/09/1979,,2019.0,1979.0
56,41204,MCCALL RANGER DISTRICT,00401,BRUNDAGE S&G,ACTIVE,DECISION NOTICE/FONSI (EA),02/09/1979,,2019.0,1979.0
57,41003,PRICE RANGER DISTRICT,00301,CASTLE VALLEY RIDGE C & H,ACTIVE,DECISION NOTICE/FONSI (EA),10/26/1979,,2025.0,1979.0
58,62112,THREE RIVERS RANGER DISTRICT,02300,CC MOUNTAIN,ACTIVE,DECISION NOTICE/FONSI (EA),06/26/1979,,2022.0,1979.0
59,41005,MONTICELLO RANGER DISTRICT,00507,COTTONWOOD,ACTIVE,RECORD OF DECISION (EIS),06/12/1979,,,1979.0
60,41204,MCCALL RANGER DISTRICT,00405,COUGAR CREEK S&G,ACTIVE,DECISION NOTICE/FONSI (EA),02/09/1979,,2022.0,1979.0
61,31202,GLOBE RANGER DISTRICT,00020,DEVILS CANYON,ACTIVE,DECISION NOTICE/FONSI (EA),05/18/1979,,2031.0,1979.0
62,41904,EVANSTON-MOUNTAIN VIEW RANGER DISTRICT,00415,EAST FORK BEAR RIVER,ACTIVE,,01/01/1979,,2022.0,1979.0
63,41203,NEW MEADOWS RANGER DISTRICT,00319,GRASSY MOUNTAIN S&G (VACANT),VACANT,DECISION NOTICE/FONSI (EA),02/09/1979,,2025.0,1979.0
64,41203,NEW MEADOWS RANGER DISTRICT,00311,HERSHEY LAVA S&G (VACANT),VACANT,DECISION NOTICE/FONSI (EA),02/09/1979,,2025.0,1979.0
65,60101,BEND/FORT ROCK RANGER DISTRICT,03011,HOLE IN THE GROUND,VACANT,,12/26/1979,,,1979.0
66,41204,MCCALL RANGER DISTRICT,00408,JOSEPHINE S&G (VACANT),VACANT,DECISION NOTICE/FONSI (EA),02/09/1979,,2025.0,1979.0
67,62112,THREE RIVERS RANGER DISTRICT,03000,LAKE ELLEN,ACTIVE,DECISION NOTICE/FONSI (EA),01/02/1979,,2025.0,1979.0
68,62104,REPUBLIC RANGER DISTRICT,03900,LAMBERT,ACTIVE,RECORD OF DECISION (EIS),06/06/1979,,2028.0,1979.0
69,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,20207,LAWSON CREEK,ACTIVE,,05/29/1979,,2022.0,1979.0
70,41203,NEW MEADOWS RANGER DISTRICT,00317,LITTLE FRENCH CREEK S&G (VACANT),VACANT,DECISION NOTICE/FONSI (EA),02/09/1979,,2025.0,1979.0
71,20904,DIVIDE RANGER DISTRICT,09461,OFFICER,VACANT,,10/30/1979,,2025.0,1979.0
72,41204,MCCALL RANGER DISTRICT,00404,SLAB BUTTE S&G,ACTIVE,DECISION NOTICE/FONSI (EA),02/09/1979,,2022.0,1979.0
73,31202,GLOBE RANGER DISTRICT,00036,SUPERIOR,ACTIVE,DECISION NOTICE/FONSI (EA),12/01/1979,,2025.0,1979.0
74,20904,DIVIDE RANGER DISTRICT,09468,TEXAS,VACANT,,05/23/1979,,2025.0,1979.0
75,41204,MCCALL RANGER DISTRICT,00407,TWENTY MILE S&G,ACTIVE,DECISION NOTICE/FONSI (EA),02/09/1979,,2022.0,1979.0
76,41203,NEW MEADOWS RANGER DISTRICT,00318,VANCE CREEK S&G (VACANT),VACANT,DECISION NOTICE/FONSI (EA),02/09/1979,,2025.0,1979.0
77,20904,DIVIDE RANGER DISTRICT,09469,WEMINUCHE,VACANT,,04/30/1979,,2025.0,1979.0
78,62103,NEWPORT RANGER DISTRICT,04100,WINCHESTER CREEK,VACANT,RECORD OF DECISION (EIS),07/16/1979,,,1979.0
79,60101,BEND/FORT ROCK RANGER DISTRICT,03010,BIG HOLE,VACANT,,06/09/1980,,,1980.0
80,62112,THREE RIVERS RANGER DISTRICT,02100,BOYDS,ACTIVE,DECISION NOTICE/FONSI (EA),09/23/1980,,2022.0,1980.0
81,60402,EMIGRANT CREEK RANGER DISTRICT,04066,BUCK MOUNTAIN,ACTIVE,RECORD OF DECISION (EIS),02/08/1980,,2025.0,1980.0
82,62103,NEWPORT RANGER DISTRICT,04000,CAL-TAC,VACANT,DECISION NOTICE/FONSI (EA),10/16/1980,,,1980.0
83,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,20226,CHALLIS CREEK,ACTIVE,,03/17/1980,,2022.0,1980.0
84,41304,LOST RIVER RANGER DISTRICT,40419,CHERRY CREEK,ACTIVE,,05/28/1980,,2025.0,1980.0
85,41401,MINIDOKA RANGER DISTRICT,02003,COAL PIT C&H,ACTIVE,DECISION NOTICE/FONSI (EA),04/28/1980,,2019.0,1980.0
86,62112,THREE RIVERS RANGER DISTRICT,00500,COTTONWOOD,VACANT,DECISION NOTICE/FONSI (EA),03/11/1980,,,1980.0
87,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,20204,EDDY CREEK,ACTIVE,,05/06/1980,,,1980.0
88,62112,THREE RIVERS RANGER DISTRICT,02600,FIRST THOUGHT,VACANT,DECISION NOTICE/FONSI (EA),09/29/1980,,,1980.0
89,62112,THREE RIVERS RANGER DISTRICT,00600,GILLETTE MOUNTAIN,VACANT,DECISION NOTICE/FONSI (EA),01/28/1980,,,1980.0
90,60402,EMIGRANT CREEK RANGER DISTRICT,04068,GREEN BUTTE,ACTIVE,RECORD OF DECISION (EIS),09/22/1980,,2025.0,1980.0
91,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,20208,LIME GULCH,ACTIVE,,10/14/1980,,2022.0,1980.0
92,62103,NEWPORT RANGER DISTRICT,04600,MILL CREEK,VACANT,DECISION NOTICE/FONSI (EA),05/02/1980,,,1980.0
93,62112,THREE RIVERS RANGER DISTRICT,03500,NANCY CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),06/10/1980,,2022.0,1980.0
94,20602,BRUSH CREEK/HAYDEN RANGER DISTRICT,02419,NORTH FORK,ACTIVE,,07/11/1980,,2019.0,1980.0
95,41308,LEADORE RANGER DISTRICT,80437,NORTH HAYDEN,ACTIVE,,10/17/1980,,,1980.0
96,41401,MINIDOKA RANGER DISTRICT,02021,RIDGELINE C&H,ACTIVE,DECISION NOTICE/FONSI (EA),04/28/1980,,2019.0,1980.0
97,10208,PINTLER RANGER DISTRICT,90306,SAND BASIN,VACANT,DECISION NOTICE/FONSI (EA),10/27/1980,,2019.0,1980.0
98,20602,BRUSH CREEK/HAYDEN RANGER DISTRICT,02426,VICTORIA,ACTIVE,,07/11/1980,,2019.0,1980.0
99,31202,GLOBE RANGER DISTRICT,00037,WINTERS,ACTIVE,DECISION NOTICE/FONSI (EA),12/01/1980,,2031.0,1980.0
100,31203,MESA RANGER DISTRICT,00038,CROSS F,ACTIVE,DECISION NOTICE/FONSI (EA),05/08/1981,,2019.0,1981.0
101,10204,BUTTE RANGER DISTRICT,90407,FLEECER,ACTIVE,DECISION NOTICE/FONSI (EA),12/31/1981,,,1981.0
102,62112,THREE RIVERS RANGER DISTRICT,01100,GREVIT CREEK,VACANT,,04/23/1981,,,1981.0
103,41702,BRIDGEPORT RANGER DISTRICT,20208,LITTLE WALKER C&H,ACTIVE,DECISION NOTICE/FONSI (EA),06/15/1981,,2025.0,1981.0
104,10208,PINTLER RANGER DISTRICT,90303,MEADOW CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),03/23/1981,,2019.0,1981.0
105,60402,EMIGRANT CREEK RANGER DISTRICT,04072,SAWMILL,ACTIVE,DECISION NOTICE/FONSI (EA),07/30/1981,,2025.0,1981.0
106,41902,PLEASANT GROVE RANGER DISTRICT,00205,SNAKE CREEK (VACANT),VACANT,DECISION NOTICE/FONSI (EA),10/20/1981,,,1981.0
107,41904,EVANSTON-MOUNTAIN VIEW RANGER DISTRICT,00501,WEST FORK SMITH FORK,ACTIVE,,01/12/1981,,,1981.0
108,41304,LOST RIVER RANGER DISTRICT,40403,ARCO PASS,ACTIVE,,04/23/1982,,,1982.0
109,62112,THREE RIVERS RANGER DISTRICT,02000,BANGS,VACANT,DECISION NOTICE/FONSI (EA),02/22/1982,,2025.0,1982.0
110,21308,COLUMBINE RANGER DISTRICT,13101,BARNES MOUNTAIN,VACANT,,03/11/1982,,,1982.0
111,41304,LOST RIVER RANGER DISTRICT,40413,BELL MOUNTAIN,ACTIVE,DECISION NOTICE/FONSI (EA),02/01/1982,,,1982.0
112,41304,LOST RIVER RANGER DISTRICT,40421,BRIGGS CANYON,ACTIVE,DECISION NOTICE/FONSI (EA),02/01/1982,,,1982.0
113,10208,PINTLER RANGER DISTRICT,90327,BUCHANAN LORD,ACTIVE,DECISION NOTICE/FONSI (EA),07/23/1982,,,1982.0
114,50651,ALMANOR RANGER DISTRICT,00008,BULL HILL,CLOSED,RECORD OF DECISION (EIS),01/11/1993,,,1993.0
115,10208,PINTLER RANGER DISTRICT,90104,BURNT HOLLOW,ACTIVE,DECISION NOTICE/FONSI (EA),09/27/1982,,,1982.0
116,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,30321,CAPE HORN S & G,VACANT,,01/26/1982,,2025.0,1982.0
117,41304,LOST RIVER RANGER DISTRICT,40422,CEDARVILLE,ACTIVE,DECISION NOTICE/FONSI (EA),02/01/1982,,,1982.0
118,20605,LARAMIE RANGER DISTRICT,05521,CINNABAR PARK,VACANT,DECISION NOTICE/FONSI (EA),12/16/1982,,2019.0,1982.0
119,41308,LEADORE RANGER DISTRICT,80421,COVE CREEK,ACTIVE,,12/13/1982,,,1982.0
120,41308,LEADORE RANGER DISTRICT,80402,DEER PARK,ACTIVE,,11/22/1982,,,1982.0
121,20605,LARAMIE RANGER DISTRICT,05522,ELK CREEK,VACANT,DECISION NOTICE/FONSI (EA),12/16/1982,,2019.0,1982.0
122,41704,TONOPAH RANGER DISTRICT,40416,FRANCISCO C&H,ACTIVE,RECORD OF DECISION (EIS),02/24/1982,,,1982.0
123,10208,PINTLER RANGER DISTRICT,90329,GEORGETOWN TROUT CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),07/23/1982,,,1982.0
124,10204,BUTTE RANGER DISTRICT,90408,GERMAN GULCH,ACTIVE,DECISION NOTICE/FONSI (EA),12/31/1982,,,1982.0
125,31206,TONTO BASIN RANGER DISTRICT,00102,HARDT CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),11/15/1982,,2022.0,1982.0
126,10208,PINTLER RANGER DISTRICT,90312,HARVEY MOYIE,ACTIVE,DECISION NOTICE/FONSI (EA),08/25/1982,,2019.0,1982.0
127,20605,LARAMIE RANGER DISTRICT,05523,HAT PARK,VACANT,DECISION NOTICE/FONSI (EA),12/16/1982,,2019.0,1982.0
128,41308,LEADORE RANGER DISTRICT,80404,HAWLEY CREEK,ACTIVE,,06/17/1982,,2019.0,1982.0
129,41308,LEADORE RANGER DISTRICT,80428,HES 659,ACTIVE,,06/17/1982,,,1982.0
130,41304,LOST RIVER RANGER DISTRICT,40426,HOWE,VACANT,DECISION NOTICE/FONSI (EA),02/01/1982,,,1982.0
131,62105,SULLIVAN LAKE RANGER DISTRICT,08000,LECLERC CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),10/01/1982,,2019.0,1982.0
132,41304,LOST RIVER RANGER DISTRICT,40424,MEADOW CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),02/01/1982,,,1982.0
133,41704,TONOPAH RANGER DISTRICT,40406,MOORES CREEK C&H,ACTIVE,RECORD OF DECISION (EIS),03/01/1982,,,1982.0
134,50454,MT WHITNEY RANGER DISTRICT,00408,OLANCHA C&H,ACTIVE,DECISION NOTICE/FONSI (EA),08/03/1982,,2019.0,1982.0
135,30903,BRADSHAW RANGER DISTRICT,00319,PECK CANYON,ACTIVE,DECISION NOTICE/FONSI (EA),06/09/1982,,,1982.0
136,61026,GOLD BEACH RANGER DISTRICT,00100,PISTOL RIVER,VACANT,DECISION NOTICE/FONSI (EA),09/15/1982,,2025.0,1982.0
137,31201,CAVE CREEK RANGER DISTRICT,00007,RED CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),05/18/1982,,2022.0,1982.0
138,41307,NORTH FORK RANGER DISTRICT,70202,SAGE CREEK,ACTIVE,,07/07/1982,,,1982.0
139,40204,CASCADE RANGER DISTRICT,00405,SAND CREEK (VACANT),VACANT,,02/23/1982,,,1982.0
140,41203,NEW MEADOWS RANGER DISTRICT,00309,WARM SPRINGS C&H,ACTIVE,DECISION NOTICE/FONSI (EA),03/09/1982,,2022.0,1982.0
141,41304,LOST RIVER RANGER DISTRICT,40435,WESTSIDE,ACTIVE,DECISION NOTICE/FONSI (EA),02/01/1982,,,1982.0
142,41304,LOST RIVER RANGER DISTRICT,40464,WILLIAMS CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),02/01/1982,,,1982.0
143,31202,GLOBE RANGER DISTRICT,00016,BRUSHIEST,VACANT,DECISION NOTICE/FONSI (EA),06/17/1983,,,1983.0
144,41307,NORTH FORK RANGER DISTRICT,70201,BURNS BASIN,ACTIVE,,06/01/1983,,,1983.0
145,41301,SALMON-COBALT RANGER DISTRICT,10502,CABIN CREEK,VACANT,,07/21/1983,,,1983.0
146,30606,RESERVE RANGER DISTRICT,00602,CIENEGA,ACTIVE,DECISION NOTICE/FONSI (EA),11/18/1983,,2019.0,1983.0
147,40206,EMMETT RANGER DISTRICT,00642,HIGH VALLEY,ACTIVE,DECISION NOTICE/FONSI (EA),07/28/1983,,2019.0,1983.0
148,51252,MOUNTAINTOP RANGER DISTRICT,12517,PILOT ROCK,VACANT,DECISION NOTICE/FONSI (EA),12/12/1983,,,1983.0
149,31204,PAYSON RANGER DISTRICT,00043,AMERICAN GULCH,ACTIVE,DECISION NOTICE/FONSI (EA),01/27/1984,,2022.0,1984.0
150,10201,DILLON RANGER DISTRICT,20008,BRAYS CANYON,ACTIVE,,07/24/1984,,,1984.0
151,10201,DILLON RANGER DISTRICT,20014,COYOTE CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),04/09/1984,,,1984.0
152,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,20229,FLAT IRON,VACANT,,03/07/1984,,,1984.0
153,41308,LEADORE RANGER DISTRICT,80422,GILMORE,ACTIVE,,06/15/1984,,,1984.0
154,21508,RIFLE RANGER DISTRICT,00809,HUNTER C&H,ACTIVE,DECISION NOTICE/FONSI (EA),02/13/1984,,,1984.0
155,31202,GLOBE RANGER DISTRICT,00026,JONES,ACTIVE,DECISION NOTICE/FONSI (EA),04/12/1984,,2028.0,1984.0
156,41703,AUSTIN RANGER DISTRICT,30306,KELLY CREEK/NORTH MONITOR,VACANT,RECORD OF DECISION (EIS),05/23/1984,,2025.0,1984.0
157,41904,EVANSTON-MOUNTAIN VIEW RANGER DISTRICT,00408,LARSON,ACTIVE,,01/01/1984,,2025.0,1984.0
158,31205,PLEASANT VALLEY RANGER DISTRICT,00074,MARSH CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),05/11/1984,,2022.0,1984.0
159,41306,MIDDLE FORK RANGER DISTRICT,10104,MIDDLE FORK,ACTIVE,,01/19/1984,,,1984.0
160,41301,SALMON-COBALT RANGER DISTRICT,10509,NORTH BASIN,ACTIVE,DECISION NOTICE/FONSI (EA),04/05/1984,,,1984.0
161,41308,LEADORE RANGER DISTRICT,80411,POWDERHORN,ACTIVE,,10/19/1984,,2025.0,1984.0
162,30501,DOUGLAS RANGER DISTRICT,00134,FAIRCHILD,COMBINED,DECISION NOTICE/FONSI (EA),01/12/2009,,,2009.0
163,41704,TONOPAH RANGER DISTRICT,40418,WAGON JOHNNIE,ACTIVE,RECORD OF DECISION (EIS),06/14/1984,,2022.0,1984.0
164,40801,FILLMORE RANGER DISTRICT,01015,WATTS MOUNTAIN,ACTIVE,DECISION NOTICE/FONSI (EA),04/28/1984,09/29/2017,,1984.0
165,30408,FLAGSTAFF RANGER DISTRICT,00110,WINDMILL,ACTIVE,,04/11/1984,,2019.0,1984.0
166,41554,PALISADES RANGER DISTRICT,00400,BALDY MOUNTAIN,VACANT,,06/01/1985,09/30/2010,,1985.0
167,10208,PINTLER RANGER DISTRICT,90318,BARTON WILLOW,ACTIVE,DECISION NOTICE/FONSI (EA),04/12/1985,,2019.0,1985.0
168,21305,MANCOS-DOLORES RANGER DISTRICT,13412,BIGGS,ACTIVE,,02/12/1985,,,1985.0
169,41904,EVANSTON-MOUNTAIN VIEW RANGER DISTRICT,00402,BLACKS FORK CATTLE,ACTIVE,,01/01/1985,,2019.0,1985.0
170,10201,DILLON RANGER DISTRICT,20012,BULL CREEK,ACTIVE,,12/31/1985,,,1985.0
171,41703,AUSTIN RANGER DISTRICT,30323,BUNKER,ACTIVE,RECORD OF DECISION (EIS),02/19/1985,,,1985.0
172,31205,PLEASANT VALLEY RANGER DISTRICT,00086,FLYING H,ACTIVE,DECISION NOTICE/FONSI (EA),02/26/1985,,2019.0,1985.0
173,60105,SISTERS RANGER DISTRICT,05006,GARRISON BUTTE,VACANT,,03/01/1985,,,1985.0
174,62112,THREE RIVERS RANGER DISTRICT,02700,GRAVES MOUNTAIN,VACANT,,09/26/1985,,,1985.0
175,31202,GLOBE RANGER DISTRICT,00025,HOBBS,ACTIVE,DECISION NOTICE/FONSI (EA),10/10/1985,,2028.0,1985.0
176,10208,PINTLER RANGER DISTRICT,90321,KOMICH,ACTIVE,DECISION NOTICE/FONSI (EA),05/20/1985,,2019.0,1985.0
177,31205,PLEASANT VALLEY RANGER DISTRICT,00070,PLEASANT VALLEY,ACTIVE,DECISION NOTICE/FONSI (EA),05/29/1985,,2022.0,1985.0
178,41907,LOGAN RANGER DISTRICT,00713,SOUTH COTTONWOOD (VACANT),VACANT,,01/01/1985,,2019.0,1985.0
179,41308,LEADORE RANGER DISTRICT,80413,SWAN BASIN,ACTIVE,,08/13/1985,,,1985.0
180,41308,LEADORE RANGER DISTRICT,80414,TEX CREEK,ACTIVE,,08/13/1985,,,1985.0
181,40204,CASCADE RANGER DISTRICT,00406,WEST MOUNTAIN SOUTH,ACTIVE,,04/29/1985,,2019.0,1985.0
182,41304,LOST RIVER RANGER DISTRICT,40460,ARENTSON GULCH,ACTIVE,DECISION NOTICE/FONSI (EA),06/30/1986,,,1986.0
183,10208,PINTLER RANGER DISTRICT,90322,BEAVER CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),06/24/1986,,,1986.0
184,31204,PAYSON RANGER DISTRICT,00045,CEDAR BENCH,ACTIVE,DECISION NOTICE/FONSI (EA),05/24/1986,,2025.0,1986.0
185,20705,FALL RIVER RANGER DISTRICT,00308,CIRCLE C,ACTIVE,DECISION NOTICE/FONSI (EA),11/21/1986,,,1986.0
186,20705,FALL RIVER RANGER DISTRICT,00309,COLE DRAW,ACTIVE,DECISION NOTICE/FONSI (EA),11/21/1986,,,1986.0
187,40801,FILLMORE RANGER DISTRICT,01007,DRY CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),03/27/1986,07/26/2019,,1986.0
188,40801,FILLMORE RANGER DISTRICT,01008,FOOL CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),03/15/1986,03/10/2010,,1986.0
189,20705,FALL RIVER RANGER DISTRICT,00319,FRENCH CREEK,ACTIVE,DECISION NOTICE/FONSI (EA),10/07/1986,,,1986.0
190,31204,PAYSON RANGER DISTRICT,00052,HARDSCRABBLE,ACTIVE,DECISION NOTICE/FONSI (EA),04/01/1986,,2025.0,1986.0
191,20705,FALL RIVER RANGER DISTRICT,00330,KAISER,ACTIVE,DECISION NOTICE/FONSI (EA),11/21/1986,,,1986.0
192,41304,LOST RIVER RANGER DISTRICT,40410,LOWER CEDAR,ACTIVE,DECISION NOTICE/FONSI (EA),06/30/1986,,,1986.0
193,31206,TONTO BASIN RANGER DISTRICT,00104,SEVENTY-SIX,ACTIVE,DECISION NOTICE/FONSI (EA),11/24/1986,,2022.0,1986.0
194,20705,FALL RIVER RANGER DISTRICT,00349,SHEEP CAMP,ACTIVE,DECISION NOTICE/FONSI (EA),11/21/1986,,,1986.0
